id,Titre comment,Date de repinse,Reponse ou non,Liste peronnes,Nombre d'etoile
209,Mecontent,10 janvier 2023,True,Showroomprive.com,1
210,Bonjour,25 janvier 2023,True,Showroomprive.com,2
211,Il me manque un article sur les deux...,20 janvier 2023,True,Showroomprive.com,2
212,Commande validee mais recu qu'un...,21 decembre 2022,True,Showroomprive.com,1
213,2 commandes / 2 mois / 2 erreurs !,,True,Showroomprive.com,2
214,Je deconseille fortement ce site !!!,,True,Showroomprive.com,1
215,Inadmissible,,True,Showroomprive.com,1
216,vente d articles non disponibles,,True,Showroomprive.com,1
217,Promesse non tenue,,True,Showroomprive.com,2
218,Decevant,16 janvier 2023,True,Showroomprive.com,1
219,il y avait un article indisponible et...,16 janvier 2023,True,Showroomprive.com,2
220,Deception de l'etat du colis,21 janvier 2023,True,Showroomprive.com,1
221,sac commande minuscule !!!!,23 janvier 2023,True,Showroomprive.com,1
222,Mauvais etiquetage et donc le produit...,21 janvier 2023,True,Showroomprive.com,2
223,Commande de 4 tee shirt et recu que 2,21 janvier 2023,True,Showroomprive.com,1
224,Diffuseur seche cheveux universel,20 janvier 2023,True,Showroomprive.com,2
225,pas satisfait,23 janvier 2023,True,Showroomprive.com,2
226,Arnaque,18 janvier 2023,True,Showroomprive.com,2
227,Produit recu casse (BO),06 janvier 2023,True,Showroomprive.com,2
228,Je viens de recevoir une boucles...,20 janvier 2023,True,Showroomprive.com,1
229,La livraison devait etre faite le 17/1...,16 janvier 2023,True,Showroomprive.com,1
230,Une des boucles d'oreille etait cassee,21 janvier 2023,True,Showroomprive.com,2
231,J'ai fait une reclamation dont je n'ai...,12 janvier 2023,True,Showroomprive.com,1
232,Photo de non contractuelle.,20 janvier 2023,True,Showroomprive.com,1
233,Decue du produit commande pas du tout...,21 janvier 2023,True,Showroomprive.com,1
234,Il me manquait un article.,20 janvier 2023,True,Showroomprive.com,1
235,Chaussures en daim au lieu d' un cuir...,18 janvier 2023,True,Showroomprive.com,2
236,Site vraiment tres tres nul,,True,Showroomprive.com,1
237,achat,04 janvier 2023,True,Showroomprive.com,2
238,Je n'ai toujours pas recu ma commande...,21 janvier 2023,True,Showroomprive.com,1
239,"Decue, qualite mediocre",10 janvier 2023,True,Showroomprive.com,1
240,Cosmetique,19 janvier 2023,True,Showroomprive.com,2
241,J'ai commande 2 articles fin decembre...,,True,Showroomprive.com,1
242,Colis perdu date de livraison prevu le...,18 janvier 2023,True,Showroomprive.com,1
243,vaisselle cassees,20 janvier 2023,True,Showroomprive.com,2
244,retenue sur les retours,,True,Showroomprive.com,2
245,Quelle deception...,,True,Showroomprive.com,1
246,LA LIVRAISON A ETE MODIFIEE PAR LA...,30 decembre 2022,True,Showroomprive.com,1
247,Nouvelle deception...,16 janvier 2023,True,Showroomprive.com,1
248,Table de jardin tres legere de basse...,05 janvier 2023,True,Showroomprive.com,2
249,La commande qui n'arrive pas perdu les...,,True,Showroomprive.com,2
250,J'ai recu ma commande rapidement mais...,17 janvier 2023,True,Showroomprive.com,1
251,Delai d'envoi beaucoup trop long,18 janvier 2023,True,Showroomprive.com,2
252,Colis mal emballe,12 janvier 2023,True,Showroomprive.com,2
253,Les photos de la vente etaient tres trompeuses ...,04 janvier 2023,True,Showroomprive.com,2
254,Service client inexistant. Produit mediocre,,True,Showroomprive.com,2
255,Il y avait un antivol sur un des...,10 janvier 2023,True,Showroomprive.com,1
256,J ai retourne un produit il y a 3 mois...,,True,Showroomprive.com,1
257,Remboursement,03 novembre 2022,True,Showroomprive.com,1
258,Meuble de tres mauvaise qualite,14 janvier 2023,True,Showroomprive.com,1
259,Fuyez se site je voulais achete des...,,True,Showroomprive.com,1
260,En attente de litige,04 janvier 2023,True,Showroomprive.com,1
261,A fuir !,,True,Showroomprive.com,1
262,Si les conseillers font de leur mieux,14 janvier 2023,True,Showroomprive.com,1
263,l article recu ne correspond pas a...,06 janvier 2023,True,Showroomprive.com,1
264,Le produit est decevant .Les finitions...,02 janvier 2023,True,Showroomprive.com,1
265,Livraison partielle,03 janvier 2023,True,Showroomprive.com,1
266,Couleur,13 janvier 2023,True,Showroomprive.com,1
267,deceptions,10 janvier 2023,True,Showroomprive.com,1
268,Aucune amelioration,13 janvier 2023,True,Showroomprive.com,2
269,Decue,14 janvier 2023,True,Showroomprive.com,2
270,Je retourne 3 articles sur 4,13 janvier 2023,True,Showroomprive.com,2
271,Culotte qui taille beaucoup trop petit,14 janvier 2023,True,Showroomprive.com,1
272,j'ai commande un abri jardin la...,12 janvier 2023,True,Showroomprive.com,1
273,Cela fait des annees que je commande...,15 janvier 2023,True,Showroomprive.com,1
274,Annulation de bon cadeau et d une partie de ma commande,13 janvier 2023,True,Showroomprive.com,1
275,Pile a HS a l arrivee,15 janvier 2023,True,Showroomprive.com,1
276,Produit arrive casse,13 janvier 2023,True,Showroomprive.com,1
277,Description et images trompeuses,13 janvier 2023,True,Showroomprive.com,2
278,Je n'ai pas recu le bon produit que...,12 janvier 2023,True,Showroomprive.com,1
279,Je suis toujours en attente du 2eme...,02 janvier 2023,True,Showroomprive.com,1
280,Pas tres content!,12 janvier 2023,True,Showroomprive.com,1
281,Du vecu avec Showroomprive...,,True,Showroomprive.com,1
282,Les dimensions de la couette (220 x240...,06 janvier 2023,True,Showroomprive.com,1
283,Mauvaise surprise,11 janvier 2023,True,Showroomprive.com,2
284,Mauvaise finition...mauvais rendu,10 janvier 2023,True,Showroomprive.com,2
285,Des annees que j'achete sur showroom...,,True,Showroomprive.com,1
286,Commande non recue,06 janvier 2023,True,Showroomprive.com,1
287,Vraiment nul,12 janvier 2023,True,Showroomprive.com,1
288,colis considere comme livre,10 janvier 2023,True,Showroomprive.com,1
289,"Le produit est arrive casse,",09 janvier 2023,True,Showroomprive.com,2
290,Mauvaise qualite,26 decembre 2022,True,Showroomprive.com,1
291,tromperie sur la marque,,True,Showroomprive.com,1
292,A eviter ! Qualite mediocre,,True,Showroomprive.com,1
293,Article manquant,07 janvier 2023,True,Showroomprive.com,2
294,Montre Apple Watch 6,04 janvier 2023,True,Showroomprive.com,2
295,Decue,11 janvier 2023,True,Showroomprive.com,2
296,Colis non recu,12 decembre 2022,True,Showroomprive.com,1
297,pas content de votre aide,,True,Showroomprive.com,1
298,Ma pire experience client ...,,True,Showroomprive.com,1
299,Pas serieux,,True,Showroomprive.com,2
300,Comment pouvez vous confirmer que les...,,True,Showroomprive.com,1
301,"Ne livre pas les commandes, annulation sans explication.",,True,Showroomprive.com,1
302,Annonce mensongere Showroomprive,,True,Showroomprive.com,1
303,Site pas serieux,09 janvier 2023,True,Showroomprive.com,1
304,Les ecouteurs commandes ne sont pas...,05 janvier 2023,True,Showroomprive.com,1
305,Je n ai pas recu ma commande et je n'ai...,07 janvier 2023,True,Showroomprive.com,1
306,pas recu le bon produit,09 janvier 2023,True,Showroomprive.com,1
307,1 sur 2 ecu,02 janvier 2023,True,Showroomprive.com,1
308,Showroom prive : bienvenue en abdurdistan !,06 janvier 2023,True,Showroomprive.com,1
309,Je n ai jamais recu mon colis indiquer...,06 janvier 2023,True,Showroomprive.com,1
310,Article trop petit pour une taille S/M.,06 janvier 2023,True,Showroomprive.com,1
311,Defauts sur l'article,06 janvier 2023,True,Showroomprive.com,1
312,Decu d'avoir recu l'appareil hors delai...,04 janvier 2023,True,Showroomprive.com,1
313,Aucun probleme pour la livraison,06 janvier 2023,True,Showroomprive.com,1
314,Jamais eu mon tapis!!!,08 janvier 2023,True,Showroomprive.com,1
315,Produit non conforme a la photo tres...,02 janvier 2023,True,Showroomprive.com,1
316,Les tailles sont trop petites,08 janvier 2023,True,Showroomprive.com,1
317,La moitie de ma commande a ete annulee,05 janvier 2023,True,Showroomprive.com,1
318,Beaucoup d'erreur dans les commandes,18 juin 2022,True,Showroomprive.com,1
319,Quand tu attends ta commande et que tu recois... ca !,05 janvier 2023,True,Showroomprive.com,1
320,"Colis tres mal emballe, mauvais rapport qualite/prix",05 janvier 2023,True,Showroomprive.com,2
321,Le colis est arrive dans un autre point...,05 janvier 2023,True,Showroomprive.com,1
322,Decue,02 janvier 2023,True,Showroomprive.com,1
323,Deception,04 janvier 2023,True,Showroomprive.com,2
324,Un mauvais point relais,04 janvier 2023,True,Showroomprive.com,2
325,C'e n'est pas le produit que...,04 janvier 2023,True,Showroomprive.com,1
326,Article taille trop mal blouson trop...,05 janvier 2023,True,Showroomprive.com,1
327,Produit conforme.,04 janvier 2023,True,Showroomprive.com,2
328,Paiement complique,04 janvier 2023,True,Showroomprive.com,2
329,Nulle commande pas arrivee dans le bon...,04 janvier 2023,True,Showroomprive.com,1
330,La livraison une catastrophe,29 decembre 2022,True,Showroomprive.com,2
331,ma commande a ete annulee de moitie et...,03 janvier 2023,True,Showroomprive.com,1
332,J'avais 2 commandes en attente dont une...,04 janvier 2023,True,Showroomprive.com,1
333,Mon colis est arrive avec pres de 3...,20 novembre 2022,True,Showroomprive.com,2
334,Commande retour a l'expediteur,,True,Showroomprive.com,1
335,Livraison de commande dans un point relais a 300km de chez moi,,True,Showroomprive.com,1
336,Un pantalon a le bouton casse,03 janvier 2023,True,Showroomprive.com,1
337,Il manque un article dans ma commande,02 janvier 2023,True,Showroomprive.com,2
338,Un bidon de liquide vaisselle est...,03 janvier 2023,True,Showroomprive.com,2
339,Commande annulee par le vendeur,,True,Showroomprive.com,1
340,Une etoile deja trop,,True,Showroomprive.com,1
341,Une entreprise qui n'hesite pas a...,,True,Showroomprive.com,1
342,Mon mari m'a offert un bracelet de...,,True,Showroomprive.com,2
343,La ceinture taille unique est...,02 janvier 2023,True,Showroomprive.com,1
344,Mecontente,04 janvier 2023,True,Showroomprive.com,2
345,Ma commande que j'ai recu ne correspond...,04 janvier 2023,True,Showroomprive.com,1
346,Taille petit,30 decembre 2022,True,Showroomprive.com,2
347,Service client deplorable mais...,,True,Showroomprive.com,2
348,Attention aux prix apres comparaison...,,True,Showroomprive.com,1
349,La plancha recu abime !!!!,23 decembre 2022,True,Showroomprive.com,1
350,Un sav deporable,,True,Showroomprive.com,2
351,Pas recu colis,02 janvier 2023,True,Showroomprive.com,1
352,Le colis n'a pas ete envoye a la date...,29 decembre 2022,True,Showroomprive.com,1
353,Je recois des vetements incomplets...,02 janvier 2023,True,Showroomprive.com,2
354,Article trop grand,02 decembre 2022,True,Showroomprive.com,2
355,Pas ete livre dans les temps.,28 decembre 2022,True,Showroomprive.com,2
356,"SAV de mauvaise foi, je me desabonne (pourtant cliente depuis 2009)",,True,Showroomprive.com,1
357,Fuyez ce site !,,True,Showroomprive.com,1
358,Commande passe le 2 decembre recu le 30...,02 janvier 2023,True,Showroomprive.com,2
359,Annulation d'une partie de la commande decevant,30 decembre 2022,True,Showroomprive.com,1
360,La qualite du produit laisse a desirer,30 decembre 2022,True,Showroomprive.com,1
361,Plusieurs commande envoyer...,30 decembre 2022,True,Showroomprive.com,2
362,Catastrophique manque de vis et au...,30 decembre 2022,True,Showroomprive.com,1
363,Colis arrive apres le delai et puvert,30 decembre 2022,True,Showroomprive.com,2
364,Colis non livre et pour mener des...,28 decembre 2022,True,Showroomprive.com,1
365,Mauvais article recu,29 decembre 2022,True,Showroomprive.com,1
366,Mon sac est arrive avec des taches je...,31 decembre 2022,True,Showroomprive.com,2
367,Appareil abime et refus de garantie,,True,Showroomprive.com,1
368,Erreur,28 decembre 2022,True,Showroomprive.com,2
369,Produit non conforme,29 decembre 2022,True,Showroomprive.com,1
370,Manque un article et tjrs pas de...,13 decembre 2022,True,Showroomprive.com,1
371,Je n'ai ete livree que d'une partie de ma commande,26 decembre 2022,True,Showroomprive.com,1
372,Colis recu en tres mauvaise etat,22 decembre 2022,True,Showroomprive.com,2
373,Commande effectue 17 decembre,29 decembre 2022,True,Showroomprive.com,2
374,Livraison trop longue,29 decembre 2022,True,Showroomprive.com,2
375,La commande recue n'est pas conforme a...,27 decembre 2022,True,Showroomprive.com,2
376,Toujours decue!!!,,True,Showroomprive.com,1
