,Titre comment,Date de réponse,Reponse ou non,Liste peronnes,Nombre d'étoile
2796,Renvoyé un colis d'un même magasin…,15 avril 2021,True,Showroomprive.com,1
2797,Service client deplorable!,14 avril 2021,True,Showroomprive.com,1
2798,Dernière commande une catastrophe,14 avril 2021,True,Showroomprive.com,1
2799,On dirait un site chinois,12 avril 2021,True,Showroomprive.com,1
2800,Aucune nouvelle depuis l'annulation de…,10 avril 2021,True,Showroomprive.com,1
2801,Nul nul et nul,10 avril 2021,True,Showroomprive.com,1
2802,SERVICE CLIENT DÉTESTABLE,09 avril 2021,True,Showroomprive.com,1
2803,Je suis très déçu par ce site,09 avril 2021,True,Showroomprive.com,1
2804,Compte bloqué 😑,08 avril 2021,True,Showroomprive.com,2
2805,Un service client en dessous de tout…,07 avril 2021,True,Showroomprive.com,1
2806,"Commande de cadre, article pas le bon",07 avril 2021,True,Showroomprive.com,1
2807,Le paiement de service client est…,07 avril 2021,True,Showroomprive.com,1
2808,moi aussi reçu hier un meuble on dirait…,07 avril 2021,True,Showroomprive.com,2
2809,Je suis déçu,05 avril 2021,True,Showroomprive.com,1
2810,Plus jamais à éviter !!!,07 avril 2021,True,Showroomprive.com,1
2811,"Commande jamais reçue, colis defoncé,produits abîmés et service client très mauvais car toujours aucun remboursement !!!",06 avril 2021,True,Showroomprive.com,2
2812,Très décevant...,06 avril 2021,True,Showroomprive.com,1
2813,fini pour moi !!! Showroom ce n'est plus ça,06 avril 2021,True,Showroomprive.com,1
2814,Tout bonnement une honte,06 avril 2021,True,Showroomprive.com,1
2815,"Site de voleurs, menteurs et incapables !!",06 avril 2021,True,Showroomprive.com,1
2816,J'ai commandé un buffet pendant la…,03 avril 2021,True,Showroomprive.com,1
2817,Expérience catastrophique et service…,27 mars 2021,True,Showroomprive.com,1
2818,Expériences catastrophiques,03 avril 2021,True,Showroomprive.com,1
2819,Produit non conforme car mal décrit,03 avril 2021,True,Showroomprive.com,1
2820,CONTREFACON,02 avril 2021,True,Showroomprive.com,1
2821,QUALITÉ 0; COLLECTION IRL MEDIOCRE,01 avril 2021,True,Showroomprive.com,1
2822,Très déçue,01 avril 2021,True,Showroomprive.com,1
2823,Ce n'est pas le client qui est roi chez eux,19 mars 2021,True,Showroomprive.com,1
